기업명,기업구분,사원수,설립일(업력),홈페이지,지역,별점,입사율,퇴사율
(주)한국컨텐츠인프라,"중소기업, 주식회사, 수출입 기업",27 명  (2022년 기준),2012년 2월 16일 (업력 10년) ,www.globalhost.co.kr,경기 안양시,4.5,11.11 % (3 명),3.70 % (1 명)
(주)온택트헬스,"중소기업, 주식회사",0,2020년 11월 5일 (업력 2년) ,,부산 중구,,100.00 % (28 명),35.71 % (10 명)
(주)컨셉터스,"중소기업, 주식회사",0,0,www.concepters.co.kr,-,3.3,,
SK텔레콤(주),"코스피, 대기업, 1000대기업, 주식회사, ..",5376 명  (2022년 기준),1984년 3월 29일 (업력 38년) ,www.sktelecom.com,서울 중구,4.0,11.71 % (626 명),12.31 % (658 명)
동국시스템즈(주),"대기업, 외부감사법인, 수출입 기업",333 명  (2022년 기준),1997년 9월 11일 (업력 25년) ,www.dongkuksystems.com,서울 중구,2.9,24.53 % (79 명),19.57 % (63 명)
(주)한국빌링시스템,"중소기업, 외부감사법인, 주식회사",39 명  (2020년 기준),2000년 4월 12일 (업력 22년) ,www.korbill.com,서울 성동구,3.3,12.50 % (4 명),25.00 % (8 명)
(주)엔에이치엔다이퀘스트,"중견기업, 주식회사, 연구소, 병역특례 ..",197 명  (2021년 기준),2000년 3월 3일 (업력 22년) ,www.diquest.com,서울 구로구,2.9,55.49 % (96 명),26.01 % (45 명)
(주)이타즈,중소기업,0,2018년 2월 26일 (업력 4년) ,,부산 해운대구,3.3,12.50 % (4 명),25.00 % (8 명)
(주)더블다운인터액티브,"중소기업, 주식회사",0,0,https://www.doubledowninteractive.co.kr/kor/main/main.html,서울 강남구,2.8,46.53 % (67 명),27.78 % (40 명)
(주)데이터디자인엔지니어링,"중소기업, 외국인 투자기업, 주식회사",17 명  (2021년 기준),2014년 10월 31일 (업력 8년) ,datadesign.engineering/,서울 구로구,4.1,29.41 % (5 명),29.41 % (5 명)
㈜칸테크,중견기업,0,0,http://www.khantech.co.kr,서울 금천구,2.7,,
이루온,"코스닥, 외부감사법인, 수출입 기업",0,0,www.eluon.com,경기 성남시,2.5,11.90 % (10 명),13.10 % (11 명)
(주)이지서티,"중소기업, 외부감사법인, 주식회사",0,0,www.easycerti.com,서울 강남구,2.5,91 % (70 명),70 % (54 명)
(주)한국아이티전문학원,"중소기업, 주식회사",0,2019년 10월 22일 (업력 3년) ,,충북 청주시,,20.00 % (1 명),20.00 % (1 명)
주식회사 이지서티,"중소기업, 외부감사법인, 주식회사",0,0,www.easycerti.com,서울 강남구,,,
인터리젠(주),중소기업,40 명  (2021년 기준),2006년 12월 12일 (업력 16년) ,www.interezen.co.kr,서울 강남구,3.6,28.21 % (11 명),15.38 % (6 명)
한국메티슨특수가스(주),"외국인 투자기업, 외부감사법인, 수출입 ..",197 명  (2022년 기준),1995년 9월 1일 (업력 27년) ,www.mgpk.co.kr,충남 아산시,2.8,40.80 % (71 명),20.69 % (36 명)
(주)딥노이드,"코스닥, 중소기업, 주식회사, 외부감사법..",115 명  (2022년 기준),2008년 2월 15일 (업력 14년) ,http://www.deepnoid.com,서울 구로구,2.2,82.88 % (92 명),82.88 % (92 명)
(주)트랜스코스모스코리아,"중견기업, 외국 법인기업, 주식회사",9658 명  (2022년 기준),2001년 5월 22일 (업력 21년) ,www.trans-cosmos.co.kr,서울 영등포구,2.6,106.63 % (9455 명),99.05 % (8783 명)
네오뉴트라(주),중소기업,0,0,www.neonutra.com,서울 종로구,3.2,35.59 % (21 명),33.90 % (20 명)
(주)모나미,"코스피, 중견기업, 외부감사법인, 수출입..",200 명  (2022년 기준),1967년 12월 28일 (업력 55년) ,www.monami.com,경기 용인시,2.0,44.69 % (80 명),30.17 % (54 명)
(주)지앤티솔루션,"중소기업, 스타트업, 연구소, 주식회사, ..",0,0,www.gntsolution.com,서울 중구,2.6,20.00 % (9 명),35.56 % (16 명)
에이디엠코리아(주),"코스닥, 중소기업, 주식회사, 병역특례 ..",0,0,http://www.admkorea.co.kr/,서울 종로구,2.4,91.23 % (104 명),35.09 % (40 명)
와이엠플러스,,10 명  (2020년 기준),2019년 10월 8일 (업력 3년) ,www.ybid.co.kr,서울 성동구,5.0,,
(주)바이오인프라생명과학,"코넥스, 중소기업, 주식회사",29 명  (2021년 기준),0,www.bioinfra.co.kr,서울 종로구,3.0,29.03 % (9 명),38.71 % (12 명)
(주)에이치앤컨설팅,중소기업,0,0,www.hnconsulting.co.kr,서울 서초구,1.7,146 % (25 명),93 % (16 명)
(주)와이오엘오,"중소기업, 스타트업",0,0,yolocorp.kr,서울 마포구,4.6,67.74 % (21 명),64.52 % (20 명)
(주)지니,"중소기업, 스타트업, 외부감사법인, 주식..",124 명  (2022년 기준),2009년 8월 18일 (업력 13년) ,www.newjini.co.kr,경기 성남시,,74 % (93 명),58 % (73 명)
(주)세마그룹,"중소기업, 주식회사",0,0,semaconsulting.co.kr,-,2.8,85 % (21 명),53 % (13 명)
㈜데이타메이션,"중소기업, 주식회사",0,0,www.datamation.co.kr,서울 구로구,1.7,44 % (9 명),39 % (8 명)
리뷰플레이스,"중소기업, 주식회사",0,0,www.reviewplace.co.kr,서울 금천구,3.2,,
(주)더블유게임즈,"코스피, 중견기업, 스타트업, 주식회사, ..",0,0,www.doubleugames.com,서울 강남구,3.3,43.59 % (119 명),27.84 % (76 명)
(주)아이디어키,"중소기업, 주식회사",93 명  (2021년 기준),2005년 4월 6일 (업력 17년) ,www.ideakey.co.kr,서울 강남구,3.2,58.18 % (32 명),52.73 % (29 명)
틱톡,,0,2018년 6월 19일 (업력 4년) ,careers.tiktok.com,서울 강남구,2.8,,
(주)슈가힐,"중소기업, 스타트업, 주식회사",82 명  (2021년 기준),2016년 12월 19일 (업력 6년) ,http://www.sugarhill.co.kr/,서울 강남구,2.5,128.30 % (68 명),132.08 % (70 명)
(주)플렉싱크,"중소기업, 주식회사",20 명  (2020년 기준),2010년 4월 28일 (업력 12년) ,http://www.flexink.com,제주 제주시,1.8,128.30 % (68 명),132.08 % (70 명)
(주)지이씨엘코리아,"중소기업, 주식회사",28 명  (2022년 기준),2017년 1월 26일 (업력 5년) ,http://www.gecl.co.kr,서울 금천구,3.3,56.76 % (21 명),40.54 % (15 명)
AJ네트웍스(주),"코스피, 대기업, 주식회사",533 명  (2022년 기준),2000년 2월 10일 (업력 22년) ,www.ajnet.co.kr,서울 송파구,2.5,31.36 % (148 명),19.49 % (92 명)
주식회사 리만코리아,"중견기업, 주식회사, 외부감사법인",0,0,www.rimankorea.co.kr,-,,,
(주)디알텍,"코스닥, 중소기업, 주식회사, 병역특례 ..",278 명  (2022년 기준),2015년 2월 3일 (업력 7년) ,www.drtech.co.kr,경기 성남시,2.7,50.00 % (121 명),40.50 % (98 명)
(주)엔젤로보틱스,"중소기업, 연구소, 주식회사, 병역특례 ..",62 명  (2021년 기준),2017년 2월 10일 (업력 5년) ,angel-robotics.com/kr/,서울 성동구,2.8,78.00 % (39 명),62.00 % (31 명)
(주)애드,중소기업,0,2018년 4월 17일 (업력 4년) ,addd.kr,대전 서구,,,
넛지헬스케어(주),"중소기업, 외부감사법인, 주식회사, 병역..",104 명  (2021년 기준),2016년 7월 27일 (업력 6년) ,www.cashwalk.co/,서울 강남구,2.6,136.36 % (120 명),93.18 % (82 명)
(주)엠에스링크앤솔루션,"중소기업, 주식회사",0,0,www.mslk.co.kr,서울 성동구,2.3,166.67 % (25 명),40.00 % (6 명)
(주)오토피온,대기업,53 명  (2022년 기준),2013년 12월 2일 (업력 9년) ,http://autopion.com,서울 강서구,2.2,25.00 % (14 명),50.00 % (28 명)
(주)캐시카우,"중소기업, 주식회사",15 명  (2018년 기준),2014년 10월 23일 (업력 8년) ,www.cash-cow.co.kr,경기 성남시,1.9,66.67 % (6 명),44.44 % (4 명)
(주)온마이뎁,중소기업,0,2021년 1월 29일 (업력 1년) ,,경기 성남시,,75.00 % (3 명),25.00 % (1 명)
(주)모비젠,"중소기업, 외부감사법인, 연구소, 주식회..",0,0,www.mobigen.com,서울 송파구,3.2,24.89 % (55 명),19.91 % (44 명)
㈜네오플,"대기업, 1000대기업, 외부감사법인",0,0,www.neople.co.kr,제주 제주시,3.7,26 % (272 명),10 % (110 명)
(주)에이아이스페라,"중소기업, 주식회사, 병역특례 인증업체",0,0,,서울 성동구,3.3,86.84 % (33 명),55.26 % (21 명)
(주)핀샷,중소기업,0,2016년 3월 28일 (업력 6년) ,,서울 영등포구,3.3,30.00 % (6 명),55.00 % (11 명)
(주)스마트프로,"중소기업, 주식회사",15 명  (2021년 기준),2016년 6월 17일 (업력 6년) ,www.smart-pro.co.kr,대전 유성구,,55 % (8 명),48 % (7 명)
(주)모림,"중견기업, 주식회사, 수출입 기업",0,0,noxglobal.com,서울 서초구,,38.24 % (26 명),36.76 % (25 명)
제이어스(주),중소기업,0,2014년 11월 18일 (업력 8년) ,www.jeios.com,부산 사상구,,97.00 % (6 명),81.00 % (5 명)
(주)스위트케이,"중소기업, 주식회사",42 명  (2022년 기준),2013년 12월 11일 (업력 9년) ,sweetk.co.kr,경기 안양시,2.9,88.52 % (54 명),80.33 % (49 명)
(주)그린앤그레이,중소기업,0,0,,서울 강남구,,- % (37 명),- % (5 명)
(주)아울시스템즈,"중소기업, 주식회사",0,0,www.owlsystems.co.kr,서울 영등포구,3.2,69.57 % (16 명),56.52 % (13 명)
(주)플랜티넷,"코스닥, 외부감사법인, 주식회사, 병역특..",0,0,www.plantynet.com,경기 성남시,2.5,30.77 % (24 명),32.05 % (25 명)
(주)스탁키퍼,"중소기업, 연구소, 주식회사, 병역특례 ..",0,0,bancow.co.kr,서울 영등포구,4.5,400.00 % (24 명),250.00 % (15 명)
(주)넷케이티아이,"중소기업, 외부감사법인, 주식회사",0,0,www.kti.co.kr,경기 성남시,3.3,48.10 % (101 명),35.71 % (75 명)
(주)트리플렛,"중소기업, 스타트업, 주식회사",0,0,http://www.triplllet.com,서울 서초구,2.6,97.00 % (12 명),72.00 % (9 명)
(주)어메스,"중소기업, 사단법인, 연구소, 주식회사",10 명  (2022년 기준),2021년 3월 12일 (업력 1년) ,www.amass.co.kr,서울 강남구,0.0,57.14 % (4 명),28.57 % (2 명)
(주)아이엔지스토리,"중소기업, 스타트업, 주식회사",78 명  (2021년 기준),2013년 10월 22일 (업력 9년) ,https://ingstory.co.kr,서울 서초구,2.8,43.42 % (33 명),65.79 % (50 명)
(주)NE능률,"코스닥, 중견기업, 주식회사",320 명  (2022년 기준),0,www.neungyule.com,서울 마포구,2.9,,
키스자산평가(주),"중견기업, 연구소, 주식회사, 병역특례 ..",141 명  (2021년 기준),2000년 6월 20일 (업력 22년) ,www.bond.co.kr,서울 영등포구,2.7,37.24 % (54 명),35.86 % (52 명)
(주)한컴라이프케어,"코스피, 외부감사법인, 수출입 기업",237 명  (2022년 기준),1996년 12월 30일 (업력 26년) ,www.hancomlifecare.com,경기 용인시,1.9,12.35 % (30 명),21.81 % (53 명)
이케이 주식회사,"중소기업, 스타트업, 주식회사",70 명  (2022년 기준),0,www.kidkids.net,경기 용인시,,,
(주)에스티에스엔지니어링,"중소기업, 연구소, 주식회사",0,2020년 5월 18일 (업력 2년) ,aists.co.kr,충북 청주시,,216.67 % (13 명),83.33 % (5 명)
(주)다하미커뮤니케이션즈,"중소기업, 주식회사, 병역특례 인증업체",54 명  (2022년 기준),1998년 5월 21일 (업력 24년) ,www.dahami.co.kr,서울 중구,2.4,216.67 % (13 명),83.33 % (5 명)
터치올(주),"중소기업, 주식회사, 수출입 기업",0,2016년 1월 28일 (업력 6년) ,,서울 금천구,,- % (2 명),0.00 % (0 명)
(주)무하유,"중소기업, 주식회사, 병역특례 인증업체",0,0,www.muhayu.com,서울 성동구,3.4,43.00 % (27 명),24.00 % (15 명)
㈜애니파이브,중소기업,0,0,www.anyfive.com,서울 구로구,2.8,,
(주)엔텔스,"코스닥, 외부감사법인, 주식회사, 병역특..",222 명  (2022년 기준),0,www.ntels.com,서울 강남구,2.8,18.94 % (43 명),23.79 % (54 명)
(주)시컴스,"중소기업, 주식회사",0,0,www.sicoms.co.kr,경기 광명시,0.0,28.57 % (4 명),42.86 % (6 명)
(주)써로마인드,"중소기업, 연구소, 주식회사, 병역특례 ..",32 명  (2022년 기준),2015년 7월 1일 (업력 7년) ,https://surromind.ai,서울 관악구,2.5,176.19 % (37 명),57.14 % (12 명)
(주)리얼시큐,"중소기업, 주식회사",0,0,www.realsecu.net,부산 해운대구,3.0,27.59 % (8 명),44.83 % (13 명)
(주)헥스콘,"중소기업, 주식회사",0,2022년 2월 4일 (업력 0년) ,,경남 창원시,,- % (7 명),- % (3 명)
(주)어뮤즈랩,"중소기업, 주식회사",9 명  (2022년 기준),2015년 12월 10일 (업력 7년) ,www.amuzlab.com,경기 성남시,0.0,79.00 % (7 명),135.00 % (12 명)
(주)알고리고,"중소기업, 주식회사, 병역특례 인증업체",0,0,www.algorigo.com,서울 강남구,4.3,15.38 % (2 명),15.38 % (2 명)
디딤365(주),"중소기업, 주식회사, 병역특례 인증업체",0,0,www.didim365.com,서울 금천구,3.2,81.72 % (76 명),40.86 % (38 명)
코드크레인(유),중소기업,0,0,www.codecrain.com,서울 광진구,,89.00 % (13 명),55.00 % (8 명)
지오시스(유),"외국인 투자기업, 유한회사",242 명  (2021년 기준),2010년 5월 20일 (업력 12년) ,www.qoo10.com,서울 강남구,2.2,22.08 % (53 명),30.83 % (74 명)
(주)퓨전소프트,외부감사법인,0,0,www.fusionsoft.co.kr,대구 동구,3.0,39.78 % (37 명),15.05 % (14 명)
(주)알파도,"중소기업, 연구소, 주식회사, 수출입 기업",11 명  (2021년 기준),2018년 2월 14일 (업력 4년) ,https://www.alphadopet.com,서울 금천구,3.5,115.38 % (15 명),161.54 % (21 명)
(주)타이드스퀘어,중소기업,297 명  (2022년 기준),2009년 11월 17일 (업력 13년) ,www.tidesquare.com,서울 중구,2.6,104.22 % (247 명),70.04 % (166 명)
이투스에듀(주),중견기업,686 명  (2021년 기준),0,www.etoos.com,서울 강남구,0.0,- % (840 명),- % (218 명)
(주)아이티엘,"중소기업, 주식회사, 병역특례 인증업체",26 명  (2018년 기준),2013년 8월 27일 (업력 9년) ,www.ipnow.co.kr,서울 서초구,2.9,0.00 % (0 명),0.00 % (0 명)
(주)넷앤드,"중소기업, 병역특례 인증업체",145 명  (2022년 기준),2007년 12월 21일 (업력 15년) ,www.netand.co.kr,서울 영등포구,2.9,46.81 % (66 명),29.08 % (41 명)
(주)이노그리드,"중소기업, 연구소, 주식회사, 병역특례 ..",133 명  (2022년 기준),2006년 10월 2일 (업력 16년) ,www.innogrid.com,서울 중구,2.4,98.06 % (101 명),65.05 % (67 명)
메가존클라우드(주),"중견기업, 주식회사, 병역특례 인증업체",900 명  (2022년 기준),0,www.megazone.com/,서울 강남구,2.7,108.89 % (821 명),32.89 % (248 명)
콴텍(주),"중소기업, 스타트업, 주식회사",0,0,www.quantec.co.kr,서울 영등포구,2.9,122.22 % (22 명),94.44 % (17 명)
메가존소프트(주),중견기업,106 명  (2022년 기준),2021년 9월 9일 (업력 1년) ,,서울 강남구,3.8,63.22 % (55 명),35.63 % (31 명)
(주)더블유에이아이,"중소기업, 연구소, 주식회사",0,0,www.waikorea.com,서울 영등포구,,66.67 % (14 명),33.33 % (7 명)
메가존(주),"중견기업, 주식회사, 병역특례 인증업체",524 명  (2022년 기준),2001년 3월 17일 (업력 21년) ,https://megazone.com,서울 강남구,2.7,57.89 % (308 명),40.41 % (215 명)
(주)스노우피크코리아,"중소기업, 외국인 투자기업, 주식회사",0,0,http://snowpeak.co.kr,서울 양천구,2.6,33.00 % (18 명),33.00 % (18 명)
(주)이엠포커스,중소기업,14 명  (2022년 기준),2013년 5월 21일 (업력 9년) ,,경기 안산시,,41.18 % (7 명),0.00 % (0 명)
(주)비솔,수출입 기업,27 명  (2022년 기준),2000년 1월 6일 (업력 22년) ,www.visol.co.kr,경기 광명시,2.1,28.13 % (9 명),12.50 % (4 명)
(주)챔프스터디,중소기업,635 명  (2021년 기준),2007년 1월 2일 (업력 15년) ,www.champstudy.com,서울 서초구,1.8,50.76 % (302 명),61.01 % (363 명)
(주)오픈소스컨설팅,"중소기업, 주식회사, 병역특례 인증업체",66 명  (2022년 기준),2012년 3월 13일 (업력 10년) ,www.osci.kr,서울 강남구,2.5,51.56 % (33 명),32.81 % (21 명)
(주)올림커뮤니케이션즈,"중소기업, 연구소",17 명  (2019년 기준),2009년 7월 15일 (업력 13년) ,www.olym.co.kr,충북 청주시,3.6,366.67 % (99 명),251.85 % (68 명)
(주)동아엘텍,"코스닥, 외부감사법인, 주식회사, 수출입..",131 명  (2022년 기준),1999년 4월 14일 (업력 23년) ,www.dongaeltek.co.kr,경기 안양시,2.8,9.16 % (12 명),6.87 % (9 명)
유빈스(주),"대기업, 주식회사",553 명  (2021년 기준),2005년 9월 20일 (업력 17년) ,www.ubins.co.kr,경기 군포시,2.5,19.40 % (104 명),20.15 % (108 명)
(주)에이스프로젝트,"중소기업, 스타트업",56 명  (2019년 기준),2011년 4월 12일 (업력 11년) ,www.aceproject.co.kr,서울 중구,4.1,41.46 % (17 명),31.71 % (13 명)
(주)에이오팜,"중소기업, 주식회사",0,2021년 3월 15일 (업력 1년) ,www.aiofarm.co.kr,경기 성남시,0.0,42.86 % (3 명),0.00 % (0 명)
(주)퍼시스,"코스피, 중견기업, 1000대기업, 외부감사..",219 명  (2022년 기준),1983년 3월 11일 (업력 39년) ,www.fursys.com,서울 송파구,3.0,26.82 % (59 명),20.00 % (44 명)
(주)벨아이앤에스,중소기업,0,2008년 5월 14일 (업력 14년) ,www.bellins.net,서울 서대문구,3.4,28.79 % (19 명),30.30 % (20 명)
(주)리파인,"코스닥, 중소기업, 주식회사",215 명  (2022년 기준),2002년 7월 10일 (업력 20년) ,www.refine.co.kr,서울 강남구,2.4,26.89 % (57 명),29.25 % (62 명)
(주)와치텍,"중소기업, 수출입 기업",110 명  (2021년 기준),1999년 1월 13일 (업력 23년) ,www.watchtek.co.kr,서울 영등포구,3.0,19.09 % (21 명),20.00 % (22 명)
(주)오비고,"코스닥, 외국인 투자기업, 외부감사법인,..",111 명  (2022년 기준),2003년 3월 18일 (업력 19년) ,www.obigo.com,경기 성남시,3.2,36.84 % (35 명),20.00 % (19 명)
(주)이노메트리,"코스닥, 중소기업, 주식회사",143 명  (2022년 기준),2008년 6월 3일 (업력 14년) ,www.innometry.com,경기 화성시,1.0,123.91 % (114 명),68.48 % (63 명)
(주)시몬스,"중견기업, 외부감사법인, 수출입 기업",643 명  (2021년 기준),0,www.simmons.co.kr,경기 이천시,2.3,37.97 % (243 명),39.53 % (253 명)
주식회사 플루토랩스,중소기업,0,0,www.pluto.im/,서울 강남구,,100.00 % (7 명),14.29 % (1 명)
메가스터디교육(주),"코스닥, 중견기업, 외부감사법인, 주식회사",0,2015년 4월 3일 (업력 7년) ,http://corp.megastudy.net,서울 서초구,2.5,79.03 % (1146 명),64.34 % (933 명)
(주)미스터픽,"중소기업, 스타트업, 주식회사",26 명  (2020년 기준),0,www.mrpic.co.kr/,서울 강남구,3.3,31.43 % (11 명),40.00 % (14 명)
기흥인터내셔널(유),"중소기업, 유한회사",85 명  (2022년 기준),0,http://www.khg.kr/,서울 강남구,2.3,0.00 % (5 명),0.00 % (0 명)
이스트소프트,"코스닥, 외부감사법인, 병역특례 인증업..",0,0,www.estsoft.ai/,서울 서초구,3.3,48.31 % (86 명),43.82 % (78 명)
엠클라우드브리지(주),중소기업,0,2022년 8월 26일 (업력 0년) ,https://www.instagram.com/mcloudbridge/,서울 강남구,,- % (17 명),0.00 % (0 명)
(주)이앤에프어드바이저,"중소기업, 주식회사",13 명  (2022년 기준),2017년 3월 16일 (업력 5년) ,www.enfadvisor.com,서울 영등포구,4.3,77.78 % (7 명),33.33 % (3 명)
(주)포비즈코리아,"중소기업, 주식회사",0,0,www.forbiz.co.kr,서울 서초구,2.3,38.10 % (32 명),38.10 % (32 명)
(주)유니텍,"외부감사법인, 주식회사",36 명  (2022년 기준),0,www.unitech.co.kr,경기 안양시,2.2,8.82 % (3 명),23.53 % (8 명)
(주)셀티움,"중소기업, 연구소, 주식회사",0,2020년 5월 19일 (업력 2년) ,www.celltium.com,경기 수원시,2.5,316.67 % (19 명),316.67 % (19 명)
(주) LG CNS,"대기업, 1000대기업, 외부감사법인, 수출..",6603 명  (2022년 기준),0,www.lgcns.com,서울 강서구,3.1,14.30 % (899 명),10.83 % (681 명)
(주)슈퍼브에이아이,"중소기업, 스타트업, 병역특례 인증업체",0,0,www.superb-ai.com,서울 강남구,4.0,231.25 % (111 명),95.83 % (46 명)
(주)더비즈,"대기업, 주식회사",0,0,land.mk.co.kr/memul,서울 서초구,0.0,0.00 % (7 명),0.00 % (1 명)
(주)미창,"중소기업, 주식회사, 병역특례 인증업체",0,0,www.mi-chang.com,경기 부천시,2.3,30.26 % (23 명),26.32 % (20 명)
(주)직방,"중소기업, 스타트업",317 명  (2021년 기준),2010년 11월 19일 (업력 12년) ,company.zigbang.com/,서울 강남구,3.1,89.86 % (257 명),31.12 % (89 명)
(주)레인보우8,"중소기업, 주식회사",0,2013년 11월 18일 (업력 9년) ,www.rainbow.co.kr,-,3.3,32.00 % (11 명),23.00 % (8 명)
(주)프로앱텍,"중소기업, 연구소, 주식회사",20 명  (2022년 기준),0,www.proabtech.com,광주 북구,,68.75 % (11 명),75.00 % (12 명)
크레파스솔루션(주),중소기업,20 명  (2021년 기준),0,www.crepass.com/,서울 마포구,1.8,69.57 % (16 명),52.17 % (12 명)
오토시맨틱스(주),,0,0,www.autosemantics.co.kr,서울 성동구,2.1,38.10 % (8 명),71.43 % (15 명)
(주)페니로이스,"중소기업, 주식회사",0,0,www.panirois.com,서울 종로구,3.0,30.77 % (8 명),42.31 % (11 명)
(주)에이아이매틱스,"중견기업, 외부감사법인, 주식회사, 병역..",78 명  (2020년 기준),2003년 7월 1일 (업력 19년) ,www.aimatics.ai,서울 영등포구,2.1,70.00 % (56 명),62.50 % (50 명)
(주)핀인사이트,중소기업,11 명  (2019년 기준),2015년 9월 17일 (업력 7년) ,,서울 동작구,5.0,31.25 % (5 명),50.00 % (8 명)
한영회계법인,"중견기업, 외국 법인기업, 외부감사법인",1274 명  (2022년 기준),1982년 3월 25일 (업력 40년) ,www.ey.com/kr,서울 영등포구,3.1,52.72 % (1133 명),39.83 % (856 명)
(주)아이투맥스,"중소기업, 주식회사",0,0,www.i2max.co.kr,서울 마포구,2.9,41.33 % (62 명),30.67 % (46 명)
현대엘엔지해운(주),"중견기업, 주식회사",341 명  (2021년 기준),2014년 3월 31일 (업력 8년) ,www.hls.co.kr,서울 중구,3.3,53.27 % (163 명),44.12 % (135 명)
한국자산평가(주),"중견기업, 외부감사법인, 병역특례 인증..",220 명  (2021년 기준),0,www.koreaap.com,서울 종로구,3.2,46.05 % (99 명),37.21 % (80 명)
아이티컨버젼스(주),"중소기업, 주식회사",0,2014년 11월 4일 (업력 8년) ,www.itconv.co.kr,서울 송파구,2.1,,
웰컴저축은행(주),"중견기업, 금융기관, 주식회사",0,0,www.welcomebank.co.kr,서울 용산구,2.4,29.74 % (221 명),29.48 % (219 명)
(주)심네트,"중소기업, 주식회사, 병역특례 인증업체",222 명  (2021년 기준),1999년 3월 15일 (업력 23년) ,www.simnet.co.kr,대전 유성구,2.1,28.86 % (43 명),22.82 % (34 명)
(주)우리기술,"코스닥, 외부감사법인, 수출입 기업",115 명  (2022년 기준),1995년 1월 12일 (업력 27년) ,www.wooritg.com,서울 마포구,2.2,8.77 % (10 명),5.26 % (6 명)
(주)퀀팃,중소기업,0,0,quantit.io,서울 영등포구,4.7,109.68 % (34 명),61.29 % (19 명)
세종경영자문(주),중소기업,0,0,,서울 종로구,1.7,166.67 % (25 명),140.00 % (21 명)
(주)이지스,"중소기업, 수출입 기업",66 명  (2022년 기준),2001년 2월 26일 (업력 21년) ,www.egiskorea.com,대구 수성구,2.9,24.62 % (16 명),32.31 % (21 명)
(주)에이치에스오코리아,"중소기업, 외국인 투자기업",0,2019년 2월 15일 (업력 3년) ,www.hsokorea.com,서울 마포구,0.0,0.00 % (6 명),0.00 % (4 명)
한국쓰리엠(주),"외국 법인기업, 외부감사법인, 연구소, ..",1686 명  (2022년 기준),1977년 9월 17일 (업력 45년) ,www.3m.co.kr,서울 영등포구,3.7,7.25 % (88 명),8.00 % (97 명)
(주)아이유노글로벌,"중소기업, 외국인 투자기업, 주식회사",0,2004년 9월 3일 (업력 18년) ,iyuno.com,서울 마포구,2.2,54.82 % (108 명),39.09 % (77 명)
아우토크립트(주),"중소기업, 연구소, 주식회사, 병역특례 ..",0,0,autocrypt.co.kr,서울 영등포구,3.4,141.60 % (177 명),44.00 % (55 명)
솔트웨어(주),"코스닥, 중소기업, 외부감사법인, 병역특..",0,0,www.saltware.co.kr,서울 구로구,2.4,- % (104 명),- % (6 명)
