,기업명,기업구분2,기업구분,사원수2,사원수,설립일(업력),홈페이지,지역,별점,입사율,퇴사율
39,(주)슈가힐,중소기업,"중소기업, 스타트업, 주식회사",82,82 명  (2021년 기준),2016년 12월 19일 (업력 6년) ,http://www.sugarhill.co.kr/,서울 강남구,2.5,128.30 % (68 명),132.08 % (70 명)
40,(주)플렉싱크,중소기업,"중소기업, 주식회사",20,20 명  (2020년 기준),2010년 4월 28일 (업력 12년) ,http://www.flexink.com,제주 제주시,1.8,128.30 % (68 명),132.08 % (70 명)
41,(주)지이씨엘코리아,중소기업,"중소기업, 주식회사",28,28 명  (2022년 기준),2017년 1월 26일 (업력 5년) ,http://www.gecl.co.kr,서울 금천구,3.3,56.76 % (21 명),40.54 % (15 명)
43,(주)디알텍,중소기업,"코스닥, 중소기업, 주식회사, 병역특례 ..",278,278 명  (2022년 기준),2015년 2월 3일 (업력 7년) ,www.drtech.co.kr,경기 성남시,2.7,50.00 % (121 명),40.50 % (98 명)
44,(주)엔젤로보틱스,중소기업,"중소기업, 연구소, 주식회사, 병역특례 ..",62,62 명  (2021년 기준),2017년 2월 10일 (업력 5년) ,angel-robotics.com/kr/,서울 성동구,2.8,78.00 % (39 명),62.00 % (31 명)
45,넛지헬스케어(주),중소기업,"중소기업, 외부감사법인, 주식회사, 병역..",104,104 명  (2021년 기준),2016년 7월 27일 (업력 6년) ,www.cashwalk.co/,서울 강남구,2.6,136.36 % (120 명),93.18 % (82 명)
46,(주)엠에스링크앤솔루션,중소기업,"중소기업, 주식회사",0,0,0,www.mslk.co.kr,서울 성동구,2.3,166.67 % (25 명),40.00 % (6 명)
48,(주)캐시카우,중소기업,"중소기업, 주식회사",15,15 명  (2018년 기준),2014년 10월 23일 (업력 8년) ,www.cash-cow.co.kr,경기 성남시,1.9,66.67 % (6 명),44.44 % (4 명)
49,(주)모비젠,중소기업,"중소기업, 외부감사법인, 연구소, 주식회..",0,0,0,www.mobigen.com,서울 송파구,3.2,24.89 % (55 명),19.91 % (44 명)
51,(주)에이아이스페라,중소기업,"중소기업, 주식회사, 병역특례 인증업체",0,0,0,,서울 성동구,3.3,86.84 % (33 명),55.26 % (21 명)
52,(주)핀샷,중소기업,중소기업,0,0,2016년 3월 28일 (업력 6년) ,,서울 영등포구,3.3,30.00 % (6 명),55.00 % (11 명)
53,(주)스위트케이,중소기업,"중소기업, 주식회사",42,42 명  (2022년 기준),2013년 12월 11일 (업력 9년) ,sweetk.co.kr,경기 안양시,2.9,88.52 % (54 명),80.33 % (49 명)
54,(주)아울시스템즈,중소기업,"중소기업, 주식회사",0,0,0,www.owlsystems.co.kr,서울 영등포구,3.2,69.57 % (16 명),56.52 % (13 명)
56,(주)스탁키퍼,중소기업,"중소기업, 연구소, 주식회사, 병역특례 ..",0,0,0,bancow.co.kr,서울 영등포구,4.5,400.00 % (24 명),250.00 % (15 명)
57,(주)넷케이티아이,중소기업,"중소기업, 외부감사법인, 주식회사",0,0,0,www.kti.co.kr,경기 성남시,3.3,48.10 % (101 명),35.71 % (75 명)
58,(주)트리플렛,중소기업,"중소기업, 스타트업, 주식회사",0,0,0,http://www.triplllet.com,서울 서초구,2.6,97.00 % (12 명),72.00 % (9 명)
59,(주)어메스,중소기업,"중소기업, 사단법인, 연구소, 주식회사",10,10 명  (2022년 기준),2021년 3월 12일 (업력 1년) ,www.amass.co.kr,서울 강남구,0.0,57.14 % (4 명),28.57 % (2 명)
60,(주)아이엔지스토리,중소기업,"중소기업, 스타트업, 주식회사",78,78 명  (2021년 기준),2013년 10월 22일 (업력 9년) ,https://ingstory.co.kr,서울 서초구,2.8,43.42 % (33 명),65.79 % (50 명)
64,(주)다하미커뮤니케이션즈,중소기업,"중소기업, 주식회사, 병역특례 인증업체",54,54 명  (2022년 기준),1998년 5월 21일 (업력 24년) ,www.dahami.co.kr,서울 중구,2.4,216.67 % (13 명),83.33 % (5 명)
65,(주)무하유,중소기업,"중소기업, 주식회사, 병역특례 인증업체",0,0,0,www.muhayu.com,서울 성동구,3.4,43.00 % (27 명),24.00 % (15 명)
67,(주)시컴스,중소기업,"중소기업, 주식회사",0,0,0,www.sicoms.co.kr,경기 광명시,0.0,28.57 % (4 명),42.86 % (6 명)
68,(주)써로마인드,중소기업,"중소기업, 연구소, 주식회사, 병역특례 ..",32,32 명  (2022년 기준),2015년 7월 1일 (업력 7년) ,https://surromind.ai,서울 관악구,2.5,176.19 % (37 명),57.14 % (12 명)
69,(주)리얼시큐,중소기업,"중소기업, 주식회사",0,0,0,www.realsecu.net,부산 해운대구,3.0,27.59 % (8 명),44.83 % (13 명)
70,(주)어뮤즈랩,중소기업,"중소기업, 주식회사",9,9 명  (2022년 기준),2015년 12월 10일 (업력 7년) ,www.amuzlab.com,경기 성남시,0.0,79.00 % (7 명),135.00 % (12 명)
71,(주)알고리고,중소기업,"중소기업, 주식회사, 병역특례 인증업체",0,0,0,www.algorigo.com,서울 강남구,4.3,15.38 % (2 명),15.38 % (2 명)
72,디딤365(주),중소기업,"중소기업, 주식회사, 병역특례 인증업체",0,0,0,www.didim365.com,서울 금천구,3.2,81.72 % (76 명),40.86 % (38 명)
75,(주)알파도,중소기업,"중소기업, 연구소, 주식회사, 수출입 기업",11,11 명  (2021년 기준),2018년 2월 14일 (업력 4년) ,https://www.alphadopet.com,서울 금천구,3.5,115.38 % (15 명),161.54 % (21 명)
76,(주)타이드스퀘어,중소기업,중소기업,297,297 명  (2022년 기준),2009년 11월 17일 (업력 13년) ,www.tidesquare.com,서울 중구,2.6,104.22 % (247 명),70.04 % (166 명)
78,(주)아이티엘,중소기업,"중소기업, 주식회사, 병역특례 인증업체",26,26 명  (2018년 기준),2013년 8월 27일 (업력 9년) ,www.ipnow.co.kr,서울 서초구,2.9,0.00 % (0 명),0.00 % (0 명)
79,(주)넷앤드,중소기업,"중소기업, 병역특례 인증업체",145,145 명  (2022년 기준),2007년 12월 21일 (업력 15년) ,www.netand.co.kr,서울 영등포구,2.9,46.81 % (66 명),29.08 % (41 명)
80,(주)이노그리드,중소기업,"중소기업, 연구소, 주식회사, 병역특례 ..",133,133 명  (2022년 기준),2006년 10월 2일 (업력 16년) ,www.innogrid.com,서울 중구,2.4,98.06 % (101 명),65.05 % (67 명)
82,콴텍(주),중소기업,"중소기업, 스타트업, 주식회사",0,0,0,www.quantec.co.kr,서울 영등포구,2.9,122.22 % (22 명),94.44 % (17 명)
85,(주)스노우피크코리아,중소기업,"중소기업, 외국인 투자기업, 주식회사",0,0,0,http://snowpeak.co.kr,서울 양천구,2.6,33.00 % (18 명),33.00 % (18 명)
87,(주)챔프스터디,중소기업,중소기업,635,635 명  (2021년 기준),2007년 1월 2일 (업력 15년) ,www.champstudy.com,서울 서초구,1.8,50.76 % (302 명),61.01 % (363 명)
88,(주)오픈소스컨설팅,중소기업,"중소기업, 주식회사, 병역특례 인증업체",66,66 명  (2022년 기준),2012년 3월 13일 (업력 10년) ,www.osci.kr,서울 강남구,2.5,51.56 % (33 명),32.81 % (21 명)
89,(주)올림커뮤니케이션즈,중소기업,"중소기업, 연구소",17,17 명  (2019년 기준),2009년 7월 15일 (업력 13년) ,www.olym.co.kr,충북 청주시,3.6,366.67 % (99 명),251.85 % (68 명)
92,(주)에이스프로젝트,중소기업,"중소기업, 스타트업",56,56 명  (2019년 기준),2011년 4월 12일 (업력 11년) ,www.aceproject.co.kr,서울 중구,4.1,41.46 % (17 명),31.71 % (13 명)
93,(주)에이오팜,중소기업,"중소기업, 주식회사",0,0,2021년 3월 15일 (업력 1년) ,www.aiofarm.co.kr,경기 성남시,0.0,42.86 % (3 명),0.00 % (0 명)
95,(주)벨아이앤에스,중소기업,중소기업,0,0,2008년 5월 14일 (업력 14년) ,www.bellins.net,서울 서대문구,3.4,28.79 % (19 명),30.30 % (20 명)
96,(주)리파인,중소기업,"코스닥, 중소기업, 주식회사",215,215 명  (2022년 기준),2002년 7월 10일 (업력 20년) ,www.refine.co.kr,서울 강남구,2.4,26.89 % (57 명),29.25 % (62 명)
97,(주)와치텍,중소기업,"중소기업, 수출입 기업",110,110 명  (2021년 기준),1999년 1월 13일 (업력 23년) ,www.watchtek.co.kr,서울 영등포구,3.0,19.09 % (21 명),20.00 % (22 명)
99,(주)이노메트리,중소기업,"코스닥, 중소기업, 주식회사",143,143 명  (2022년 기준),2008년 6월 3일 (업력 14년) ,www.innometry.com,경기 화성시,1.0,123.91 % (114 명),68.48 % (63 명)
102,(주)미스터픽,중소기업,"중소기업, 스타트업, 주식회사",26,26 명  (2020년 기준),0,www.mrpic.co.kr/,서울 강남구,3.3,31.43 % (11 명),40.00 % (14 명)
103,기흥인터내셔널(유),중소기업,"중소기업, 유한회사",85,85 명  (2022년 기준),0,http://www.khg.kr/,서울 강남구,2.3,0.00 % (5 명),0.00 % (0 명)
105,(주)이앤에프어드바이저,중소기업,"중소기업, 주식회사",13,13 명  (2022년 기준),2017년 3월 16일 (업력 5년) ,www.enfadvisor.com,서울 영등포구,4.3,77.78 % (7 명),33.33 % (3 명)
106,(주)포비즈코리아,중소기업,"중소기업, 주식회사",0,0,0,www.forbiz.co.kr,서울 서초구,2.3,38.10 % (32 명),38.10 % (32 명)
108,(주)셀티움,중소기업,"중소기업, 연구소, 주식회사",0,0,2020년 5월 19일 (업력 2년) ,www.celltium.com,경기 수원시,2.5,316.67 % (19 명),316.67 % (19 명)
110,(주)슈퍼브에이아이,중소기업,"중소기업, 스타트업, 병역특례 인증업체",0,0,0,www.superb-ai.com,서울 강남구,4.0,231.25 % (111 명),95.83 % (46 명)
112,(주)미창,중소기업,"중소기업, 주식회사, 병역특례 인증업체",0,0,0,www.mi-chang.com,경기 부천시,2.3,30.26 % (23 명),26.32 % (20 명)
113,(주)직방,중소기업,"중소기업, 스타트업",317,317 명  (2021년 기준),2010년 11월 19일 (업력 12년) ,company.zigbang.com/,서울 강남구,3.1,89.86 % (257 명),31.12 % (89 명)
114,(주)레인보우8,중소기업,"중소기업, 주식회사",0,0,2013년 11월 18일 (업력 9년) ,www.rainbow.co.kr,-,3.3,32.00 % (11 명),23.00 % (8 명)
115,크레파스솔루션(주),중소기업,중소기업,20,20 명  (2021년 기준),0,www.crepass.com/,서울 마포구,1.8,69.57 % (16 명),52.17 % (12 명)
116,오토시맨틱스(주),중소기업,중소기업,0,0,0,www.autosemantics.co.kr,서울 성동구,2.1,38.10 % (8 명),71.43 % (15 명)
117,(주)페니로이스,중소기업,"중소기업, 주식회사",0,0,0,www.panirois.com,서울 종로구,3.0,30.77 % (8 명),42.31 % (11 명)
119,(주)핀인사이트,중소기업,중소기업,11,11 명  (2019년 기준),2015년 9월 17일 (업력 7년) ,,서울 동작구,5.0,31.25 % (5 명),50.00 % (8 명)
121,(주)아이투맥스,중소기업,"중소기업, 주식회사",0,0,0,www.i2max.co.kr,서울 마포구,2.9,41.33 % (62 명),30.67 % (46 명)
125,(주)심네트,중소기업,"중소기업, 주식회사, 병역특례 인증업체",222,222 명  (2021년 기준),1999년 3월 15일 (업력 23년) ,www.simnet.co.kr,대전 유성구,2.1,28.86 % (43 명),22.82 % (34 명)
127,(주)퀀팃,중소기업,중소기업,0,0,0,quantit.io,서울 영등포구,4.7,109.68 % (34 명),61.29 % (19 명)
128,세종경영자문(주),중소기업,중소기업,0,0,0,,서울 종로구,1.7,166.67 % (25 명),140.00 % (21 명)
129,(주)이지스,중소기업,"중소기업, 수출입 기업",66,66 명  (2022년 기준),2001년 2월 26일 (업력 21년) ,www.egiskorea.com,대구 수성구,2.9,24.62 % (16 명),32.31 % (21 명)
130,(주)에이치에스오코리아,중소기업,"중소기업, 외국인 투자기업",0,0,2019년 2월 15일 (업력 3년) ,www.hsokorea.com,서울 마포구,0.0,0.00 % (6 명),0.00 % (4 명)
132,(주)아이유노글로벌,중소기업,"중소기업, 외국인 투자기업, 주식회사",0,0,2004년 9월 3일 (업력 18년) ,iyuno.com,서울 마포구,2.2,54.82 % (108 명),39.09 % (77 명)
133,아우토크립트(주),중소기업,"중소기업, 연구소, 주식회사, 병역특례 ..",0,0,0,autocrypt.co.kr,서울 영등포구,3.4,141.60 % (177 명),44.00 % (55 명)
134,솔트웨어(주),중소기업,"코스닥, 중소기업, 외부감사법인, 병역특..",0,0,0,www.saltware.co.kr,서울 구로구,2.4,- % (104 명),- % (6 명)
136,코리아스펙트랄프로덕츠(주),중소기업,"중소기업, 외국인 투자기업, 수출입 기업",25,25 명  (2020년 기준),2003년 6월 19일 (업력 19년) ,http://www.ksp.co.kr,서울 구로구,2.7,11.54 % (3 명),15.38 % (4 명)
137,(주)무신사,중소기업,중소기업,943,943 명  (2021년 기준),2012년 6월 25일 (업력 10년) ,www.musinsa.com,서울 성동구,2.7,137.96 % (894 명),39.20 % (254 명)
138,(주)위즈코리아,중소기업,"중소기업, 주식회사",0,0,0,www.weeds.co.kr,서울 강서구,1.9,34.38 % (22 명),39.06 % (25 명)
140,(주)더베스트페이,중소기업,"중소기업, 주식회사",24,24 명  (2021년 기준),2002년 1월 14일 (업력 20년) ,http://www.thebestpay.co.kr,서울 강서구,2.6,15.38 % (4 명),11.54 % (3 명)
141,케이아이티밸리(주),중소기업,중소기업,0,0,0,www.kitvalley.com,서울 금천구,3.0,27.85 % (22 명),25.32 % (20 명)
142,(주)버블콘,중소기업,"중소기업, 주식회사",0,0,0,,서울 구로구,2.0,82.35 % (14 명),52.94 % (9 명)
143,에스케이시그넷(주),중소기업,"코넥스, 중소기업, 주식회사, 외부감사법..",178,178 명  (2021년 기준),2016년 12월 13일 (업력 6년) ,https://sksignet.com/,전남 영광군,2.4,101.18 % (171 명),22.49 % (38 명)
144,(주)바인테크,중소기업,"중소기업, 외부감사법인, 주식회사, 병역..",40,40 명  (2021년 기준),2001년 4월 25일 (업력 21년) ,www.vinetech.co.kr,서울 송파구,2.6,35.71 % (15 명),47.62 % (20 명)
145,(주)엔켐,중소기업,"코스닥, 중소기업, 외부감사법인, 주식회..",261,261 명  (2022년 기준),2012년 1월 26일 (업력 10년) ,www.enchem.net,충북 제천시,2.5,90.32 % (196 명),58.53 % (127 명)
146,(주)에이티솔루션,중소기업,중소기업,0,0,2017년 1월 26일 (업력 5년) ,,부산 기장군,4.0,7.14 % (1 명),28.57 % (4 명)
147,에이엠스퀘어(주),중소기업,"중소기업, 주식회사",0,0,2019년 3월 7일 (업력 3년) ,amsquare.ai,경북 포항시,0.0,62.50 % (5 명),25.00 % (2 명)
148,㈜더아이엠씨,중소기업,"중소기업, 주식회사, 병역특례 인증업체",0,0,0,http://www.theimc.co.kr/,대구 수성구,2.2,60.00 % (32 명),40.00 % (21 명)
149,아이티사이언스(주),중소기업,"중소기업, 스타트업, 외부감사법인, 주식..",162,162 명  (2021년 기준),2002년 11월 25일 (업력 20년) ,www.itscience.co.kr,경기 안양시,2.5,33.12 % (52 명),16.56 % (26 명)
151,시큐웍스(대전),중소기업,"중소기업, 외부감사법인, 주식회사, 수출..",0,0,0,www.secu-works.com,대전 유성구,1.0,62.50 % (15 명),79.17 % (19 명)
153,(주)데이터에듀,중소기업,"중소기업, 주식회사",32,32 명  (2021년 기준),2019년 1월 28일 (업력 3년) ,www.dataedu.co.kr,부산 해운대구,1.8,183.87 % (57 명),151.61 % (47 명)
154,(주)제이에스티앤랩,중소기업,중소기업,18,18 명  (2018년 기준),2008년 12월 2일 (업력 14년) ,www.js-t.co.kr,인천 연수구,2.7,35.00 % (7 명),60.00 % (12 명)
155,(주)클로버스튜디오,중소기업,중소기업,0,0,2019년 7월 25일 (업력 3년) ,,인천 연수구,2.0,145.45 % (16 명),118.18 % (13 명)
156,(주)시스콘,중소기업,"중소기업, 주식회사, 병역특례 인증업체",0,0,0,www.syscon.kr,인천 서구,2.9,91.78 % (67 명),26.03 % (19 명)
157,(주)메디칼파크,중소기업,"중소기업, 외부감사법인, 연구소, 주식회..",77,77 명  (2021년 기준),2008년 1월 4일 (업력 14년) ,imedicalpark.com,경기 용인시,2.9,39.13 % (27 명),15.94 % (11 명)
158,(주)다누시스,중소기업,"중소기업, 연구소, 주식회사, 병역특례 ..",61,61 명  (2022년 기준),2002년 10월 2일 (업력 20년) ,www.danusys.com,경기 광명시,2.9,64.71 % (33 명),49.02 % (25 명)
159,쿤텍(주),중소기업,"중소기업, 연구소, 주식회사",39,39 명  (2022년 기준),2016년 1월 28일 (업력 6년) ,www.coontec.com,경기 성남시,3.4,103.33 % (31 명),60.00 % (18 명)
160,(주)데이터메이커,중소기업,중소기업,0,0,2018년 10월 19일 (업력 4년) ,www.datamaker.io,대전 유성구,3.9,70.97 % (44 명),85.48 % (53 명)
161,비앤에프테크놀로지(주),중소기업,중소기업,77,77 명  (2019년 기준),2000년 11월 10일 (업력 22년) ,www.bnftech.com,대전 유성구,3.2,43.64 % (24 명),36.36 % (20 명)
162,(주)두잇시스템,중소기업,중소기업,223,223 명  (2021년 기준),2004년 2월 16일 (업력 18년) ,www.doitsys.co.kr,서울 영등포구,2.5,22.48 % (49 명),19.27 % (42 명)
163,주식회사 미코,중소기업,중소기업,0,0,0,,인천 서구,2.8,37.50 % (45 명),19.17 % (23 명)
164,(주)두플,중소기업,"중소기업, 주식회사",0,0,0,www.doople.net,경기 성남시,2.6,36.67 % (11 명),23.33 % (7 명)
165,(주)얼라인드제네틱스,중소기업,"코스닥, 중소기업, 스타트업, 주식회사, ..",52,52 명  (2022년 기준),2008년 10월 2일 (업력 14년) ,www.alignedgenetics.com,경기 안양시,3.3,40.00 % (18 명),22.22 % (10 명)
166,(주)동서가구,중소기업,"중소기업, 외부감사법인, 주식회사, 수출..",85,85 명  (2021년 기준),2013년 8월 23일 (업력 9년) ,www.dongsuhfurniture.co.kr,경기 성남시,2.0,72.58 % (45 명),77.42 % (48 명)
168,(주)제이숲,중소기업,중소기업,0,0,0,www.jsoop.co.kr,경기 의정부시,3.4,74.07 % (40 명),59.26 % (32 명)
169,(주)투버미디어,중소기업,"중소기업, 주식회사",12,12 명  (2022년 기준),0,www.2ver.com,대구 남구,2.0,12.50 % (2 명),12.50 % (2 명)
170,주식회사 명품입찰,중소기업,중소기업,0,0,0,www.mpbid.co.kr,대전 동구,2.7,81.40 % (35 명),79.07 % (34 명)
171,스포츠투아이(주),중소기업,"중소기업, 주식회사",66,66 명  (2021년 기준),1999년 12월 9일 (업력 23년) ,www.sports2i.com,경기 성남시,2.7,41.67 % (25 명),35.00 % (21 명)
172,(주)아이비젼웍스,중소기업,"중소기업, 주식회사, 수출입 기업",70,70 명  (2021년 기준),2015년 4월 20일 (업력 7년) ,,대전 유성구,4.4,108.47 % (64 명),42.37 % (25 명)
173,에프원소프트(주),중소기업,"중소기업, 스타트업, 병역특례 인증업체",0,0,0,www.f1soft.co.kr,경기 화성시,2.5,35.14 % (13 명),37.84 % (14 명)
174,(주)에스티에이테스팅컨설팅,중소기업,"중소기업, 스타트업, 주식회사",185,185 명  (2022년 기준),0,www.sta.co.kr,서울 강남구,2.5,32.71 % (70 명),45.79 % (98 명)
175,(주)플랜아이,중소기업,"중소기업, 주식회사, 병역특례 인증업체,..",116,116 명  (2022년 기준),2004년 11월 26일 (업력 18년) ,www.plani.co.kr,대전 유성구,3.0,30.36 % (34 명),28.57 % (32 명)
176,(주)발렌타인드림,중소기업,"중소기업, 연구소, 주식회사",0,0,0,www.bdm.works/,서울 강남구,2.7,175.86 % (51 명),127.59 % (37 명)
178,(주)더컴퍼니,중소기업,"중소기업, 주식회사",0,0,2016년 5월 17일 (업력 6년) ,bestco.kr,경남 창원시,2.5,28.57 % (2 명),42.86 % (3 명)
182,(주)이루온아이앤에스,중소기업,"중소기업, 주식회사",0,0,0,www.eluonins.com,경기 성남시,3.3,43.10 % (25 명),44.83 % (26 명)
183,(주)인실리코젠,중소기업,"중소기업, 주식회사, 병역특례 인증업체",0,0,0,insilicogen.com,경기 용인시,2.7,42.86 % (21 명),20.41 % (10 명)
184,(주)아인스텍,중소기업,"중소기업, 주식회사",12,12 명  (2017년 기준),2002년 4월 25일 (업력 20년) ,www.einstek.com,경기 고양시,2.5,54.00 % (71 명),58.00 % (76 명)
0,동아출판(주),중견기업,"중견기업, 외부감사법인",283,283 명  (2022년 기준),2008년 10월 1일 (업력 14년) ,www.dongapublishing.com,서울 영등포구,2.5,27.18 % (78 명),25.09 % (72 명)
2,고려해운(주),중견기업,"중견기업, 외부감사법인",739,739 명  (2022년 기준),1985년 9월 6일 (업력 37년) ,www.kmtc.co.kr,서울 중구,3.3,9.68 % (15 명),11.61 % (18 명)
17,(주)엔에이치엔다이퀘스트,중견기업,"중견기업, 주식회사, 연구소, 병역특례 ..",197,197 명  (2021년 기준),2000년 3월 3일 (업력 22년) ,www.diquest.com,서울 구로구,2.9,55.49 % (96 명),26.01 % (45 명)
21,㈜칸테크,중견기업,중견기업,0,0,0,http://www.khantech.co.kr,서울 금천구,2.7,27.00 % (12 명),13.00 % (6 명)
27,(주)트랜스코스모스코리아,중견기업,"중견기업, 외국 법인기업, 주식회사",9658,9658 명  (2022년 기준),2001년 5월 22일 (업력 21년) ,www.trans-cosmos.co.kr,서울 영등포구,2.6,106.63 % (9455 명),99.05 % (8783 명)
29,(주)모나미,중견기업,"코스피, 중견기업, 외부감사법인, 수출입..",200,200 명  (2022년 기준),1967년 12월 28일 (업력 55년) ,www.monami.com,경기 용인시,2.0,44.69 % (80 명),30.17 % (54 명)
37,(주)더블유게임즈,중견기업,"코스피, 중견기업, 스타트업, 주식회사, ..",0,0,0,www.doubleugames.com,서울 강남구,3.3,43.59 % (119 명),27.84 % (76 명)
61,(주)NE능률,중견기업,"코스닥, 중견기업, 주식회사",320,320 명  (2022년 기준),0,www.neungyule.com,서울 마포구,2.9,16.00 % (49 명),19.00 % (58 명)
62,키스자산평가(주),중견기업,"중견기업, 연구소, 주식회사, 병역특례 ..",141,141 명  (2021년 기준),2000년 6월 20일 (업력 22년) ,www.bond.co.kr,서울 영등포구,2.7,37.24 % (54 명),35.86 % (52 명)
77,이투스에듀(주),중견기업,중견기업,686,686 명  (2021년 기준),0,www.etoos.com,서울 강남구,0.0,- % (840 명),- % (218 명)
81,메가존클라우드(주),중견기업,"중견기업, 주식회사, 병역특례 인증업체",900,900 명  (2022년 기준),0,www.megazone.com/,서울 강남구,2.7,108.89 % (821 명),32.89 % (248 명)
83,메가존소프트(주),중견기업,중견기업,106,106 명  (2022년 기준),2021년 9월 9일 (업력 1년) ,,서울 강남구,3.8,63.22 % (55 명),35.63 % (31 명)
